name,type
CSIR Cent Sci Instruments Org,Institute
Inst Pulmocare & Res,Institute
Tata Consultancy Serv Ltd,Others
Bishop Heber Coll Autonomous,College
NRS Med Coll & Hosp,College
Paras HMRI Hosp,Hospital
Inst Haematol & Transfus Med,Institute
Army Hosp,Hospital
Narayana Super Specialty Hosp,Hospital
Natl Inst Immuno Haematol,Institute
SCB Med Coll,College
Ch Ranbir Singh State Inst Engn & Technol,Institute
Doon Univ,University
SKUAST K,University
Annamalai Univ,University
St Berchmans Coll Autonomous,College
Dr Lankapalli Bullayya Coll,College
Natl Inst Technol Rourkela,Institute
Maharaja Ranjit Singh Punjab Tech Univ,University
MVJ Coll Engn,College
Sri Guru Granth Sahib World Univ,University
Asian Inst Gastroenterol,Institute
Gleneagles Global Hlth City,Hospital
BGS Gleneagles Global Hosp,Hospital
Bundelkhand Med Coll Sagar,College
Guru Ghasidas Vishwavidyalaya,University
Int Ctr Genet Engn & Biotechnol ICGEB,Research
Indira Gandhi Natl Tribal Univ,University
Govt VYTPG Autonomous Coll,College
Cochin Canc Res Ctr,Research
Dayanand Med Coll & Hosp,College
Tata Med Ctr,Research
Ganga Med Ctr & Hosp Pvt Ltd,Hospital
Max Hosp,Hospital
Kailash Canc Hosp & Res Ctr,Hospital
Calcutta Natl Med Coll,College
Siksha O Anusandhan Deemed Univ,University
ICARE Inst Med Sci & Res,Institute
Nalanda Med Coll & Hosp,College
Guru Nanak Dev Univ Coll,College
IK Gujral Punjab Tech Univ,University
Sri Guru Angad Dev Coll,College
Asian Healthcare Fdn,Institute
Indian Inst Technol Tirupati,Institute
Univ Petr & Energy Studies UPES,University
Inst Post Grad Med Educ & Res,Institute
Maharishi Markandeshwar Deemed Be Univ,University
Kolkata Municipal Corp,Others
KS Rangasamy Coll Technol,College
Maulana Abul Kalam Azad Univ Technol,University
Saveetha Sch Engn,School
Saveetha Inst Med & Tech Sci SIMATS,Institute
Devi Ahilya Vishwavidyalaya,University
SV Natl Inst Technol,Institute
Naysari Agr Univ,University
Bhabha Atom Res Ctr,Research
DY Patil Educ Soc,College
Dehradun Inst Technol DIT Univ,Institute
BCDA Coll Pharm & Technol,College
Womens Coll,College
Maharaja Bir Bikram Coll,College
SVNIT,University
JESITMR,University
Lokmanya Tilak Municipal Gen Hosp & Med Coll,College
Tocklai Tea Res Inst,Institute
Natl Inst Elect & Informat Technol,Institute
JIS Coll Engn,College
Natl Inst Sci Educ & Res Bhubaneswar,Institute
Cent Salt & Marine Chem Res Inst,Institute
Gujarat Maritime Board,College
Maharaja Agrasen Inst Technol,Institute
HealthCare Global Enterprises Ltd HCG,Others
Govt Vidarbha Inst Sci & Humanities,Institute
Amolakchand Mahavidyalaya,College
Natl Inst Anim Biotechnol,Institute
ICAR Indian Vet Res Inst IVRI,Institute
Shri Ramdeobaba Coll Engn & Management,College
Deemed Univ,University
Christ Univ,University
Amer Coll,College
Hinduja Hosp Khar,Hospital
Fortis Mem Res Inst,Institute
JJ Hosp & Grant Med Coll,College
CSIR Cent Salt & Marine Chem Res Inst,Institute
Model Rural Hlth Res Unit,Research
Royal Global Univ,University
Veer Bahadur Singh Purvanchal Univ,University
Dr Ram Manohar Lohia Hosp,Hospital
Inst Human Behav & Allied Sci,Institute
Rajiv Gandhi Super Special Hosp,Hospital
Pravara Inst Med Sci,Institute
Publ Hlth Res Inst India,Institute
Kongunadu Arts & Sci Coll Autonomous,College
Inst Life Sci,Institute
Reg Med Res Ctr,Research
GB Pant Natl Inst Himalayan Environm,Institute
BMS Inst Technol & Management,Institute
IMS & SUM Hosp,Hospital
Midnapore Coll Autonomous,College
North Bengal Univ,University
Global Inst Sci & Technol,Institute
SIMS Hosp,Hospital
MGM Med Coll & Hosp,College
Indian Inst Publ Hlth Hyderabad IIPH H,Institute
Inst Integrat Omics & Appl Biotechnol IIOAB,Institute
Govt Coll Pharm,College
Shyam Shah Med Coll,College
Cent Univ Karnataka,University
Gulbarga Univ,University
TruFactor InMobi Grp,Others
Populat Council,Research
JSS Hosp,Hospital
Herbertpur Christian Hosp,Hospital
Nirmala Coll Pharm,College
Rahat Hosp & Res Ctr,Hospital
Land & Land Reforms & Refugee Relief & Rehabil De,Others
Salesian Coll,College
Sardar Patel Renewable Energy Res Inst,Institute
Poornima Coll Engn,College
Poornima Univ,University
Sanjay Gandhi Post Grad Inst Med Sci,Institute
Dr Rajendra Prasad Cent Agr Univ Pusa,University
Guru Angad Dev Vet & Anim Sci Univ,University
Vishwa Bharati Publ Sch,School
Govt Inst Forens Sci,Institute
Gandhi Med Coll Bhopal,College
Inst Postgrad Med Educ & Res & Seth Sukhlal Karna,Institute
Employee State Insurance Post Grad Inst Med Sci &,Institute
Publ Hlth Fdn India,Others
Bangalore Baptist Hosp,Hospital
Int Inst Populat Sci,Institute
Datta Meghe Inst Med Sci,Institute
Sheri Kashmir Inst Med Sci,Institute
Jawaharlal Nehru Ctr Adv Sci Res,Research
Sankhya Sutra Labs,Others
Bangalore Bioinnovat Ctr,Research
Causal Biomodels,Others
Management Dev Inst Gurgaon,Institute
Mahindra United World Coll,College
Dr B Lal Inst Biotechnol,Institute
Dr B Lal Clin Lab Pvt Ltd,Hospital
Inst Adv Study India,Institute
KR Mangalam Univ,University
PDM Univ,University
Ramaiah Med Coll,College
Saraswati Dhanwantri Dent Coll & Hosp & Post Grad,College
Narayana Dent Coll & Hosp,College
Sapienza Univ Rome,University
Maharishi Markandeshwar Deemed Univ,University
Indian Inst Technol Bhubaneswar,Institute
Adesh Inst Med Sci & Res,Institute
Smt NHL Municipal Med Coll,College
Adesh Med Coll & Hosp,College
Pramukhswami Med Coll,College
Sri Guru Ram Das Univ Hlth Sci,University
Mahatma Gandhi Med Coll,College
Cent Agr Univ,University
ICAR Cent Soil Salin Res Inst,Institute
GTC Colony,Others
ICAR Indian Agr Res Inst,Institute
Reg Off Itanagar,Others
Palamuru Univ,University
Cent Council Res Siddha,Research
Siddha Cent Res Inst,Institute
Indian Inst Sci Educ & Res Mohali,Institute
VFSTR Deemed Univ,University
Bapatla Engn Coll,College
Ortin Labs Pvt Ltd,Others
Inst Neurosci,Institute
Vikram Hosp,Hospital
Nizams Inst Med Sci,Institute
Shree Krishna Hosp,Hospital
Jaslok Hosp,Hospital
Medanta Hosp,Hospital
Coll Med,College
Sagore Dutta Hosp,Hospital
All India Inst Hyg & Publ Hlth,Institute
Med Coll & Hosp,College
WHO RNTCP Tech Support Network,Others
St Josephs Coll Engn,College
Swami Ramanand Teerth Rural Med Coll,College
Galgotias Coll Engn & Technol,College
Teeth N Jaws Ctr,Research
Panipat Inst Engn & Technol,Institute
SRM Univ,University
GIET Univ,University
Sethu Inst Technol,Institute
Vidya Bharati Mahavidyalaya,College
Dr Babasaheb Ambedkar Marathwada Univ,University
Govt Coll Arts & Sci,College
Gujarat Univ,University
Integral Univ Lucknow,University
Indian Inst Engn Sci & Technol,Institute
North Delhi Municipal Corp Med Coll,College
Hindu Rao Hosp,Hospital
Seth GSMC & KEM Hosp,Hospital
SPDM Govt Girls Coll,College
Chandigarh Coll Pharm,College
Indian Inst Management Bangalore,Institute
Deemed Be Univ,University
CSIR North East Inst Sci & Technol CSIR NEIST,Institute
Sanjay Gandhi Postgrad Inst Med,Institute
Super Specialty Canc Inst & Hosp,Institute
Super Special Canc Inst & Hosp,Institute
Dr Ram Manohar Lohia Inst Med Sci,Institute
Community Hlth Initiat,Others
Indian Inst Management Sirmaur Poanta Sahib,Institute
BLK Super Special Hosp,Hospital
SP Pune Univ Campus,University
Chandigarh Pollut Control Comm,Others
Aravind Eye Hosp Chennai,Hospital
Prakash Netra Kendr,Hospital
Sankara Eye Hosp,Hospital
Retina Inst Karnataka,Institute
Narayana Nethralaya Eye Inst,Institute
Eydox Eye Hosp,Hospital
Shroff Char Eye Hosp,Hospital
Vis Plus Eye Ctr,Research
Sankara Nethralaya,Others
Sarakshi Nethralaya,Others
Army Hosp R&R,Hospital
Aditya Jyot Eye Hosp,Hospital
Ctr Sight,Research
Aravind Eye Hosp,Hospital
Giridhar Eye Hosp,Hospital
Indira Gandhi Inst Med Inst Med Sci,Institute
Manipal Hosp,Hospital
Visitec Eye Ctr,Research
Sri Sankaradeva Nethralaya,Others
Narayana Netralaya,Others
Sir Gangaram Hosp,Hospital
Indian Journal Ophthalmol,Others
Nethradhama Super Special Eye Hosp,Hospital
George Inst Global Hlth India,Institute
Unit Dr Agarwals Eye Hosp,Hospital
Foresight Int,Research
Dr Gogates Eye Clin,Hospital
Padmashri DY Patil Med Coll,College
Hi Tech Eye Inst & Laser Ctr,Institute
Indira Gandhi Inst Med Sci,Institute
Minto Ophthalm Hosp,Hospital
Bangalore Med Coll & Res Inst,Institute
Cosmetiq Clin,Hospital
Banasthali Univ,University
Panjab Univ PU,University
GNCT Delhi,University
VIT Vellore,University
Narayana Nethralaya,Others
Narayana Nethralaya Fdn,Others
KNR Univ Hlth Sci,University
Sri Guru Ram Das Inst Med Sci & Res,Institute
Deccan Med Coll,College
South Cent Railway Hosp,Hospital
Gandhi Med Coll,College
Rajeev Gandhi Mem Coll Engn & Technol,College
Indian Meteorol Dept,Others
Adarsa Coll Pharm,College
Andhra Univ,University
Govt Coll A,College
Adhra Med Coll,College
Steril Gene Life Sci,Others
HealthCare Global Enterprises Ltd,Others
Navodaya Dent Coll & Hosp,College
Sri Venkateswara Dent Coll & Hosp,College
Bharathirajaa Hosp & Res Inst,Institute
Govt Dent Coll & Hosp,College
Indira Gandhi Govt Med Coll & Hosp,College
CORE Grp Polio Project India,Others
Raghudeep Eye Hosp,Hospital
Pink City Eye Hosp,Hospital
Surya Eye Inst & Res Ctr,Institute
Vitreoretinal Soc India,Others
Natl Inst Mental Hlth Neurosci NIMHANS,Institute
Natl Inst Mental Hlth & Neuro Sci NIMHANS,Institute
Tamil Nadu Vet & Anim Sci Univ,University
Govind Ballabh Pant Engn Coll,College
A-302 Adarsh Gardens,Others
Jaipuria Inst Management,Institute
LKG Punjab Tech Univ,University
CSIR Cent Food Technol Res Inst,Institute
Indian Inst Engn Sci & Technol IIEST,Institute
Larsen & Toubro Infotech Ltd,Others
Cognizant Technol Solut,Others
Max Superspecialty Hosp,Hospital
ACTREC,Research
BLK Superspecial Hosp,Hospital
Fortis Mem Hosp,Hospital
Avinash Canc Clin,Hospital
Jawahar Lal Nehru Hosp & Res Ctr,Hospital
IIT Hyderabad,University
YB Chavan Coll Pharm,College
Raja Lakshmi Sch Business,School
Pt Jawahar Lal Nehru Mem Med Coll,College
Cotton Univ,University
ProteinInsights,Others
Nichi In Ctr Regenerat Med NCRM,Research
Nurithm Labs Private Ltd,Others
Maharaja Bir Bikram Univ,University
Inst Engn & Rural Technol,Institute
Presidency Univ,University
Indian Inst Informat Technol,Institute
Indian Inst Technol Ropar,Institute
Biju Patnaik Univ Technol,University
Kanak Manjari Inst Pharmaceut Sci,Institute
Amala Inst Med Sci,Institute
Med Superspecial Hosp,Hospital
Associated Lok Nayak Hosp,Hospital
Tamralipta Mahavidyalaya,College
Ramsaday Coll,College
Natl Inst Technol Durgapur,Institute
Natl Inst Technol Arunachal Pradesh,Institute
Govt Coll Jaitwara,College
Kanchi Kamakoti CHILDS Trust Hosp,Hospital
SRCC Childrens Hosp,Hospital
Jupiter Hosp,Hospital
Sheri I Kashmir Inst Med Sci,Institute
Dr Pinnamaneni Siddhartha Inst Med Sci & Res Fdn,Institute
Army Inst Cardiothorac Sci,Institute
OP Jindal Global Univ,University
Safdarjang Hosp & VMMC,Hospital
Govt India,Others
Univ Coll Engn,College
Hindustan Inst Technol,Institute
Lady Brabourne Coll,College
Stella Maris Coll,College
Loyola Coll,College
Minist Earth Sci Pune,Others
Minist Earth Sci,Others
Indian Inst Technol Patna,Institute
Chennai Crit Care Consultants,Others
Rajendra Inst Med Sci,Institute
Vishwaraj Hosp,Hospital
Hinduja Hosp,Hospital
Sanjeevan Hosp,Hospital
Symbiosis Univ Hosp & Res Ctr,Hospital
ICAR NRCE,Research
CCS Haryana Agr Univ,University
Guru Jambheshwar Univ,University
Indian Council Agr Res,Research
Maharishi Arvind Coll Pharm,College
Chilika Dev Author,Others
Minist Environm Forest & Climate Change,Research
Kasturba Hosp Infect Dis,Hospital
PD Hinduja Hosp,Hospital
Mrinalini Datta Mahavidyapith,College
Saveetha Inst Med & Tech Sci,Institute
Centurion Univ Technol & Management,University
Rajindra Hosp,Hospital
Bharati Vidyapeeth,University
Natl Capital Reg Biotech Sci Cluster,Others
Uttar Pradesh Tech Support Unit UP TSU,Others
Sun Med & Res Ctr,Research
CHRIST,University
Jawaharlal Nehru Med Coll,College
Sher Kashmir Univ Agr Sci & Technol,University
Sher E Kashmir Univ Agr Sci & Technol,University
Uttaranchal Inst Pharmaceut Sci,Institute
UP Pt Deen Dayal Upadhyaya Vet Sci Univ,University
CSIR Inst Himalayan Bioresource Technol,Institute
Bal Umang Drishya Sanstha BUDS,Others
Indian Acad Pediat,Academy
MRD Life Sci Pvt Ltd,Others
Invertis Univ,University
90-66 A,Others
Aspirat Acad Osmanpura,Academy
Mysore Med Coll & Res Inst,Institute
Mahatma Gandhi Cent Univ,University
TMBU,University
GRID Council,Research
Gujarat Med Educ & Res Soc Med Coll,College
UGC DAE Consortium Sci Res,Research
Guru Gobind Singh Coll Pharm,College
GD Goenka Univ,University
Chaitanya Bharathi Inst Technol,Institute
Silico Res Lab,Research
LeGene Biosci Pvt Ltd,Others
TERI Sch Adv Studies,School
Forest Res Inst FRI,Institute
SOA Deemed Be Univ,University
Govt Dent Coll,College
BVM Coll Pharm,College
Meerut Inst Engn & Technol,Institute
All India Inst Med Sci New Delhi,Institute
Krishna Univ Dr MRAR PG Ctr,University
Higher Educ Dept,Others
Sakra World Hosp,Hospital
Ramaiah Mem Hosp,Hospital
Columbia Asia Hosp 6 4,Hospital
People Tree Hosp,Hospital
Vydehi Inst Med Sci,Institute
Bangalore Neuro Ctr,Research
Mazumdar Shaw Med Ctr,Research
Ahmedabad Univ,University
Camellia Inst Technol,Institute
StemOnc R&D Private Ltd,Others
Mangla Hosp & Res Ctr,Hospital
Kumar Child Clin,Hospital
Dwarkadas J Sanghvi Coll Engn,College
Shobhaben Pratapbhai Patel Sch Pharm & Technol Ma,School
Dr DY Patil Biotechnol & Bioinformat Inst,Institute
MIT ADT Univ,University
Manasvi,Others
Indian Law Soc,College
Voluntary Hlth Serv,Hospital
Tata Inst Fundamental Res,Institute
ICMR,Research
PRM Med Coll & Hosp,College
Gunam Multispecial Hosp,Hospital
King George Hosp,Hospital
Safdarjung Hosp Campus,Hospital
Rajarajeswari Dent Coll & Hosp,College
Peerzadiguda,Others
Kerala Univ Fisheries & Ocean Studies KUFOS,University
Natl Environm Engn Res Inst NEERI,Institute
Bombay Nat Hist Soc BNHS,Others
IUCN SSC WI Freshwater Fish Specialist Grp FFSG,Research
Biodivers Res & Conservat Soc,Research
St Alberts Coll,College
Aaranyak,Others
Kerala Forest Res Inst KFRI,Institute
Zoo Outreach Org ZOO,Others
GSVM Med Coll,College
Vivekananda Polyclin & Inst Med Sci,Institute
Prathyusha Engn Coll,College
SCMS Inst Biosci & Biotechnol,Institute
Seethapathy Clin & Hosp,Hospital
GITAM Univ,University
UGC DAE Consortium Sci Res Kolkata Ctr,Research
Ramakrishna Mission Vidyamandira,College
Kidwai Mem Inst Oncol,Institute
Commiss Ecosyst Management CEM,Others
BLDE Deemed Univ,University
CSIR Inst Minerals & Mat Technol CSIR IMMT,Institute
PSG Coll Arts & Sci,College
Univ Grants Commiss,University
Madras ENT Res Fdn,Research
Gauhati Med Coll,College
Gangadhar Meher Univ,University
Pandit Ravishankar Shukla Univ,University
KD Hosp,Hospital
Gem Hosp & Res Ctr,Hospital
KIMS Livlife Ctr,Research
Kular Hosp P Ltd,Hospital
Max Super Specialty Hosp,Hospital
Belle Vue,Hospital
Apollo Spectra Hosp,Hospital
Shreeji Hosp,Hospital
Max Smart Super Special Hosp,Hospital
Shree Hosp,Hospital
IITD,University
Techno Int New Town,Others
Mukand Lal Natl Coll,College
Multani Mal Modi Coll,College
Dayalbagh Educ Inst Deemed Univ,Institute
Govt Coll Engn & Text Technol,College
Jagadis Bose Natl Sci Talent Search,Research
Ctr Interdisciplinary Res & Educ,Research
KIIT Deemed Univ,University
ESIC Med Coll & Hosp,College
St Longowal Inst Engn & Technol,Institute
Bhagwant Inst Technol,Institute
Natl Inst Technol Silchar,Institute
MIOT Int Hosp,Hospital
VIT Univ,University
Univ Grants Commiss UGC FRP,University
ICMR Natl Inst Res Environm Hlth,Institute
Cent Univ Tamil Nadu,University
Saveetha Dent Coll & Hosp,College
Govt Coll Engn & Leather Technol,College
Haldia Inst Technol,Institute
Rajagiri Business Sch,School
Topiwala Natl Med Coll & BYL Nair Ch Hosp,College
Gujarat Biotechnol Res Ctr GBRC,Research
Indian Robot Solut Pvt Ltd IRS,Research
Amity Inst Psychol & Allied Sci,Institute
NCR Biotech Sci Cluster,Research
CSIR Natl Environm Engn Res Inst CSIR NEERI,Institute
ICAR Cent Inst Brackishwater Aquaculture,Institute
Indian Space Res Org,Research
Kumaraguru Coll Technol,College
Tata Consultancy Serv,Others
Mohanlal Sukhadia Univ,University
North Eastern Reg Inst Sci & Technol,Institute
ICAR Res Complex,Research
Ramakrishna Mission Vivekananda Educ & Res Inst,Institute
Ctr Dev Adv Comp C DAC,Research
Homi Bhabha Canc Hosp,Hospital
CSIR Natl Environm Engn Res Inst,Institute
Inst Nano Sci & Technol,Institute
Natl Ctr Biol Sci,Research
GD Hosp & Diabet Inst,Institute
College Med & JNM Hosp,College
Indian Inst Publ Hlth Delhi,Institute
Motihari Coll Engn,College
Prantae Solut Private Ltd,Institute
Vels Inst Sci Technol & Adv Studies,Institute
Rajalakshmi Engn Coll,College
ACS Med Coll & Hosp,College
IILM Coll Engn & Technol,College
NDMC Med Coll,College
RD Gardi Med Coll,College
UP Pandit Deen Dayal Upadhayay Pashu Chikitsa Vig,Research
Peerless Hosp,Hospital
Sanjay Gandhi Postgrad Inst Med Sci SGPGIMS,Institute
SMS Med Coll & Attached Grp Hosp,College
St Xaviers Coll Autonomous,College
Sri Balaji Vidyapeeth SBV Deemed Be Univ,University
Indian Council Med Res ICMR,Research
MGM Inst Hlth Sci,Institute
IIIT Delhi,University
IPGMER Kolkata,Research
AIIMS Rishikesh,Institute
Superspecial Pediat Hosp & PG Teaching Inst,Institute
Sarvodaya Hosp & Res Ctr,Hospital
MUC Womens Coll,College
Visvesvaraya Technol Univ,University
Glocal Univ,University
IKG Punjab Tech Univ,University
Shoolini Univ,University
Laureate Inst Pharm,Institute
Ctr Data Anal Res & Training CDART,Research
Int Crops Res Inst Semi Arid Trop,Institute
Indian Immunol Ltd IIL,Others
Jehangir Hosp,Hospital
Savitribai Phule Univ,University
IIITDM Kancheepuram,Research
Data Foundry,Others
Apollo Main Hosp,Hospital
Sherikashmir Inst Med Sci,Institute
Chest Dis Hosp,Hospital
Govt Degree Coll,College
ICAR Indian Inst Sugarcane Res,Institute
CSA Univ Agr & Technol,University
FLAME Univ,University
ICFAI Business Sch,School
Sukoon Psychotherapy Ctr,Research
Saifee Hosp,Hospital
Bharti Hosp,Hospital
MMDU,University
South Asian Univ,University
Assam Agr Univ,University
Med Coll,College
Indian Inst Technol Jammu,Institute
Veer Narmad South Gujarat Univ,University
Bhabha Atom Res Ctr BARC,Research
Sikkim Univ,University
Vellore Inst Technol VIT,Institute
Indian Inst Space Sci & Technol IIST,Institute
Natl Highway Author India,Others
Dronacharya Coll Engn,College
IUCN,Research
CSIR Natl Bot Res Inst,Institute
Birla Inst Technol Mesra,Institute
ABN Seal Coll,College
Gushkara Mahavidyalaya,College
Modern Coll Arts Sci & Commerce,College
Krishna Chandra Coll,College
All India Ophthalmol Soc,Research
Shreeji Eye Clin,Hospital
Palaks Glaucoma Care Ctr,Research
L V Prasad Eye Inst,Institute
MGM Eye Inst,Institute
Post Grad Inst Ophthalmol,Institute
CBM,Others
Postgrad Inst Ophthalmol,Institute
Mahathma Eye Hosp Pvt Ltd,Hospital
Anderson Diagnost,Others
Deenanath Mangeshkar Hosp & Res Ctr,Hospital
Madhyanchal Profess Univ,University
Islamic Univ Sci & Technol,University
ICAR Cent Avian Res Inst,Institute
Indira Gandhi Natl Open Univ,University
BN MANDAL Univ,University
MBM Engn Coll,College
DBT Natl Inst Anim Biotechnol NIAB,Institute
Prasannadeb Womens Coll,College
SN Bose Natl Ctr Basic Sci,Research
NIT Srinagar,University
Pramukhswarni Med Coll,College
PBDS UHS,University
Etiologically Elus Disorders Res Network EEDRN,Research
Banaras Hindu Univ BHU,University
Community Welf Fdn India,Others
KGMU Lucknow,University
Khallikote Univ,University
Indian Inst Chem Technol,Institute
ZunaChem Pvt Ltd,Others
ICMR Headquarters,Others
Univ Petr,University
KSRM Coll Engn A,College
Sree Vidyanikethan Engn Coll,College
Velagapudi Ramakrishna Siddhartha Engn Coll,College
United Engineers,Others
M Kumarasamy Coll Engn,College
Saveetha Engn Coll Saveetha Nagar,College
Univ VOC Coll Engn,College
Graph Era Hill Univ,University
Pratiksha Inst Pharmaceut Sci,Institute
Smt SM Panchal Sci Coll,College
Reg Ctr Biotechnol,Research
Int Dev Econ Associates IDEAs,Others
IISc Bangalore,University
Bioinformat Grp,Research
Electron Microscopy & Histopathol Grp,Research
Natl Inst Virol,Institute
Diagnost Virol Grp,Others
Maximum Containment Lab,Others
Maximum Containment Facil,Research
Sch Publ Hlth,School
Natl Inst Epidemiol,Institute
ICMR Sch Publ Hlth,School
Influenza Grp,Others
Electron Microscopy,Research
Bioinformat & Data Management Grp,Research
King Inst Prevent Med & Res,Institute
Sawai Man Singh Med Coll,College
Gandhi Med Coll & Hosp,College
Byramjee Jeejeebhoy Med Coll,College
Gauhati Med Coll & Hosp,College
Enter Virus Grp,Others
Anim House,Others
Entomol Grp,University
Poliovirus Grp,Others
Natl Ctr Dis Control,Research
Hemwati Nandan Bahuguna Garhwal A Cent Univ,University
Hemwati Nandan Bahuguna Garhwal Univ,University
Gurukul Kangri Vishwavidhyalya,University
Coll Dent Sci & Hosp,College
Vijaygarh Jyotish Ray Coll,College
IIT Kanpur,University
ICAR Indian Inst Soil Sci,Institute
Modern Coll,College
DY Patil Educ Soc Inst Deemed Be Univ,Institute
Sir Parashurambhau Coll,College
Bhanwar Singh Porte Govt Sci Coll,College
Punyashlok Ahilyadevi Holkar Solapur Univ,University
Basic HealthCare Serv,Others
Indian Fdn Fundamental Res,Research
ICMR Natl Inst Malaria Res,Institute
Sree Gokulam Med Coll,College
Inst Child Hlth,Institute
Jai Narayan Vyas Univ,University
Deen Dayal Upadhyaya Gorakhpur Univ,University
Kumaun Univ Uttarakhand,University
Board Directors Venture Ctr,Research
Project DEFY,Others
Nitte Deemed Univ,University
Kuvempu Univ,University
Gurukula Kangri Vishwavidyalaya,University
Apollo & Gleneagles Global Hosp,Hospital
Indian Inst Technol Hyderabad India,Institute
Dr DY Patil Vidyapeeth Deemed Univ,University
Inst Adv Res,Institute
Inst Med Sci,Institute
SUM Hosp,Hospital
Motilal Nehru Natl Inst Technol,Institute
Med & Hlth,Others
COVID Care Ctr,Research
Karnavati Univ,University
PDPM Indian Inst Informat Technol Design & Mfg,Institute
Kasturba Med Coll & Hosp,College
Jubilee Mission Med Coll & Res Inst,Institute
Sri Sai Grp Inst,Institute
Dr SN Med Coll,College
Cent Agr Univ I,University
Community Hlth Ctr,Research
RG Kar Med Coll & Hosp,College
Silchar Med Coll & Hosp,College
Gyan Ganga Inst Technol & Sci,Institute
Indian Inst Sci Educ & Res Mohali IISER Mohali,Institute
Indraprastha Apollo Hosp Delhi,Hospital
Tirunelveli Dakshina Mara Nadar Sangam TDMNS Coll,College
Cent Inst Psychiat,Institute
Lalit Narayan Mithila Univ,University
Meditrina Inst Med Sci,Institute
Maulana Azad Med Coll & LN Hosp,College
Maharashtra Inst Med Sci & Res,Institute
Ashwini Rural Med Coll,College
Maharashtra Univ Hlth Sci,University
Datta Meghe Coll Physiotherapy,College
Meenakshi Acad Higher Educ & Res Deemed Be Univ,University
Naarayani Multispecial Hosp,Hospital
Univ New South Wales UNSW,University
Manipal Acad Higher Educ MAHE,Academy
KLE Acad Higher Educ & Res KAHER,Academy
NITTE Deemed Be Univ,University
Goa Univ,University
SSKM Hosp,Hospital
Sri Krishna Coll Technol,College
Gandhi Inst Technol Adv,Institute
Rajalakshmi Sch Business,School
Inst Management Technol Nagpur,Institute
Medanta,Hospital
Charotar Univ Sci & Technol,University
Indian Acad Degree Coll Autonomous,College
Sumandeep Vidyapeeth,University
Kristu Jayanthi Coll Autonomous,College
Badarpur Said Tehsil Tigaon,Others
PhiXGen Private Ltd,Others
Energy & Resources Inst,Institute
Thapar Inst Engn & Technol Deemed Univ,Institute
Netaji Subhas Univ Technol,University
Motilal Nehru Natl Inst Technol Allahabad,Institute
Amala Canc Res Ctr,Research
Mohanlal Shukhadia Univ,University
Rashtrast Tukad Maharaj Nagpur Univ,University
DIT Univ,University
Varanasi Coll Pharm,College
Clin Trials Registry India,Hospital
ICMR Natl Inst Med Stat,Institute
Virol Unit,Research
Div Epidemiol & Communicable Dis,Others
Hlth Informat Ctr,Research
Hepatitis Grp,Others
Topiwalla Natl Med Coll,College
St Johns Med Coll,College
Seth Gordhandas Sunderdas Med Coll,College
King Edwards Med Hosp,Hospital
Inst Postgrad Med Educ & Res,Institute
Med Coll Baroda,College
BJ Med Coll,College
Jawaharlal Inst Postgrad Educ & Res,Institute
WHO Country Off India,Others
TKM Coll Engn,College
UKF Coll Engn & Technol,College
SCTIMST,Institute
Armed Forces Med Coll,College
ICMR Vector Control Res Ctr,Research
Medipulse Hosp,Hospital
Vasundhara Hosp & Infertil Ctr,Hospital
Vardhman Mahavir Med Coll & Safdarjung Hosp,College
ICMR Natl Inst Res TB,Institute
Jan Swasthya Sahyog,Hospital
Directorate Hlth Serv,Others
ICMR Natl Inst Implementat Res Noncommunicable Di,Institute
ICMR Natl Inst Canc Prevent & Res,Institute
ICMR Natl AIDS Res Inst,Institute
ICMR Natl Inst Res Tribal Hlth,Institute
Natl TB Inst,Institute
State TB Training & Demonstrat Ctr,Research
State TB Training & Demonstrat Ctr Ranchi,Research
ICMR Natl Inst Nutr,Institute
ICMR Rajendra Mem Res Inst Med Sci,Institute
State TB Cell,Others
Indian Inst Publ Hlth,Institute
Pimpri Chinchwad Municipal Corp,Others
Sri Venkateswara Inst Med Sci,Institute
Apollo Hosp & Hlth City,Hospital
Gleneagles Global Hosp LKP,Hospital
Eras Lucknow Med Coll & Hosp,College
Pathkind Labs,Others
Ctr Chron Dis Control,Research
Madras Diabet Res Fdn,Research
Malaviya Natl Inst Technol Jaipur,Institute
Malaviya Natl Inst Informat Technol,Institute
Jawahar Lal Nehru Univ,University
Univ Engn & Management,University
Indian Inst Space Sci & Technol,Institute
Qure Ai,Others
Cent Electrochem Res Inst,Institute
Indian Inst Technol BHU,Institute
Dist Hlth Serv,Others
Sree Chitra Tirunal Inst Med Sci & Technol,Institute
Govt Bikram Coll Commerce,College
KIET Grp Inst,Institute
Indian Inst Management Ranchi,Institute
Indian Inst Management Visakhapatnam,Institute
TA Pai Management Inst,Institute
Shanti Hosp & Res Ctr,Hospital
Lady Hardinge Med Coll LHMC,College
McKinsey & Co Inc,Others
Bundelkhand Univ,University
South Asia Int Food Policy Res Inst,Institute
IFPRI South Asia,Others
Natl Inst Hlth & Family Welfare,Institute
JSS Med Coll,College
Univ Hort Sci,University
ICAR Indian Inst Hort Res Chettalli,Institute
Univ Agr Sci B,University
GRKIST,Institute
Jabalpur Engn Coll,College
Govt Tripura,Others
KLEF,Others
Bowring & Lady Curzon Hosp,Hospital
